CROSS targetVessels K1
TP,FP,TN,FN,DICE,CC
66418,13364,953568,15226,0.822,60.0

CROSS targetVessels K2
TP,FP,TN,FN,DICE,CC
66465,14840,953535,13736,0.821,74.3

CROSS targetVessels K3
TP,FP,TN,FN,DICE,CC
67668,16542,951301,13065,0.819,96.8

CROSS targetVeins K1
TP,FP,TN,FN,DICE,CC
34207,7707,996372,10290,0.792,56.4

CROSS targetVeins K2
TP,FP,TN,FN,DICE,CC
35028,10211,994505,8832,0.785,79.9

CROSS targetVeins K3
TP,FP,TN,FN,DICE,CC
33831,8212,996378,10156,0.786,69.5

CROSS targetArteries K1
TP,FP,TN,FN,DICE,CC
29413,9869,999831,9462,0.749,54.5

CROSS targetArteries K2
TP,FP,TN,FN,DICE,CC
28750,10711,999941,9174,0.739,83.0

CROSS targetArteries K3
TP,FP,TN,FN,DICE,CC
28540,8854,1001490,9692,0.751,78.3

