DRIVE_RETA targetVessels K1
TP,FP,TN,FN,DICE,CC
73451,12518,942031,20576,0.815,41.0

DRIVE_RETA targetVessels K2
TP,FP,TN,FN,DICE,CC
75860,17643,939332,15742,0.817,47.4

DRIVE_RETA targetVessels K3
TP,FP,TN,FN,DICE,CC
75829,19278,937485,15983,0.808,71.6

DRIVE_RETA targetVeins K1
TP,FP,TN,FN,DICE,CC
38169,7664,989274,13468,0.781,37.8

DRIVE_RETA targetVeins K2
TP,FP,TN,FN,DICE,CC
40458,11964,986030,10123,0.783,37.8

DRIVE_RETA targetVeins K3
TP,FP,TN,FN,DICE,CC
38915,9610,988657,11394,0.784,35.9

DRIVE_RETA targetArteries K1
TP,FP,TN,FN,DICE,CC
31044,10145,995605,11782,0.736,40.8

DRIVE_RETA targetArteries K2
TP,FP,TN,FN,DICE,CC
31360,12876,993945,10395,0.722,54.0

DRIVE_RETA targetArteries K3
TP,FP,TN,FN,DICE,CC
30268,10652,996663,10994,0.73,52.8

