DUALMODAL2019 targetVessels K1
TP,FP,TN,FN,DICE,CC
51367,12244,975852,9113,0.824,69.6

DUALMODAL2019 targetVessels K2
TP,FP,TN,FN,DICE,CC
50329,10302,977990,9955,0.83,66.9

DUALMODAL2019 targetVessels K3
TP,FP,TN,FN,DICE,CC
52916,11820,975114,8726,0.836,74.4

DUALMODAL2019 targetVeins K1
TP,FP,TN,FN,DICE,CC
26344,5977,1010619,5636,0.815,68.3

DUALMODAL2019 targetVeins K2
TP,FP,TN,FN,DICE,CC
26513,6835,1010069,5159,0.812,48.9

DUALMODAL2019 targetVeins K3
TP,FP,TN,FN,DICE,CC
26280,5490,1010258,6549,0.812,50.9

DUALMODAL2019 targetArteries K1
TP,FP,TN,FN,DICE,CC
23281,7777,1011764,5755,0.769,46.9

DUALMODAL2019 targetArteries K2
TP,FP,TN,FN,DICE,CC
22698,6474,1012934,6470,0.774,53.6

DUALMODAL2019 targetArteries K3
TP,FP,TN,FN,DICE,CC
22842,5991,1013252,6490,0.783,65.5

