HRF targetVessels K1
TP,FP,TN,FN,DICE,CC
71056,16461,945447,15612,0.812,82.3

HRF targetVessels K2
TP,FP,TN,FN,DICE,CC
71460,17986,944443,14687,0.81,118.8

HRF targetVessels K3
TP,FP,TN,FN,DICE,CC
71811,18684,943639,14442,0.809,152.2

HRF targetVeins K1
TP,FP,TN,FN,DICE,CC
36852,9280,991525,10920,0.783,77.6

HRF targetVeins K2
TP,FP,TN,FN,DICE,CC
37254,12189,989306,9827,0.768,150.3

HRF targetVeins K3
TP,FP,TN,FN,DICE,CC
35394,8536,992712,11934,0.774,120.5

HRF targetArteries K1
TP,FP,TN,FN,DICE,CC
32034,11843,994685,10014,0.738,79.3

HRF targetArteries K2
TP,FP,TN,FN,DICE,CC
31340,12232,994966,10038,0.73,142.0

HRF targetArteries K3
TP,FP,TN,FN,DICE,CC
30813,9237,997334,11191,0.746,119.4

