LESAV targetVessels K1
TP,FP,TN,FN,DICE,CC
60392,8311,968960,10913,0.861,26.2

LESAV targetVessels K2
TP,FP,TN,FN,DICE,CC
55300,6223,974799,12254,0.853,24.2

LESAV targetVessels K3
TP,FP,TN,FN,DICE,CC
59768,11319,968502,8986,0.85,35.2

LESAV targetVeins K1
TP,FP,TN,FN,DICE,CC
29692,6112,1004510,8262,0.805,21.1

LESAV targetVeins K2
TP,FP,TN,FN,DICE,CC
29149,5685,1004916,8826,0.794,31.8

LESAV targetVeins K3
TP,FP,TN,FN,DICE,CC
29142,8306,1003241,7886,0.778,35.4

LESAV targetArteries K1
TP,FP,TN,FN,DICE,CC
27913,6910,1005520,8232,0.781,28.5

LESAV targetArteries K2
TP,FP,TN,FN,DICE,CC
24758,7923,1007787,8108,0.75,32.3

LESAV targetArteries K3
TP,FP,TN,FN,DICE,CC
27087,8010,1006074,7405,0.77,43.9

