CROSS targetVessels K1
TP,FP,TN,FN,DICE,CC
61357,16720,950212,20288,0.765,43.0

CROSS targetVessels K2
TP,FP,TN,FN,DICE,CC
63401,19434,948941,16800,0.769,46.4

CROSS targetVessels K3
TP,FP,TN,FN,DICE,CC
59100,14210,953632,21633,0.761,50.3

CROSS targetVeins K1
TP,FP,TN,FN,DICE,CC
30165,11888,992191,14332,0.689,43.3

CROSS targetVeins K2
TP,FP,TN,FN,DICE,CC
27098,6795,997921,16762,0.683,43.4

CROSS targetVeins K3
TP,FP,TN,FN,DICE,CC
28221,10785,993805,15765,0.66,56.1

CROSS targetArteries K1
TP,FP,TN,FN,DICE,CC
21376,8440,1001261,17499,0.608,29.9

CROSS targetArteries K2
TP,FP,TN,FN,DICE,CC
21970,9282,1001370,15954,0.622,71.3

CROSS targetArteries K3
TP,FP,TN,FN,DICE,CC
24026,10485,999858,14206,0.649,47.0

