DRIVE_RETA targetVessels K1
TP,FP,TN,FN,DICE,CC
64387,6507,948041,29641,0.78,34.3

DRIVE_RETA targetVessels K2
TP,FP,TN,FN,DICE,CC
67757,8986,947989,23845,0.802,39.3

DRIVE_RETA targetVessels K3
TP,FP,TN,FN,DICE,CC
61811,6767,949996,30001,0.768,41.4

DRIVE_RETA targetVeins K1
TP,FP,TN,FN,DICE,CC
34046,7198,989740,17591,0.729,34.5

DRIVE_RETA targetVeins K2
TP,FP,TN,FN,DICE,CC
29505,5043,992951,21077,0.688,44.2

DRIVE_RETA targetVeins K3
TP,FP,TN,FN,DICE,CC
30221,6156,992111,20088,0.688,51.6

DRIVE_RETA targetArteries K1
TP,FP,TN,FN,DICE,CC
22347,5228,1000523,20478,0.63,34.6

DRIVE_RETA targetArteries K2
TP,FP,TN,FN,DICE,CC
18402,4245,1002575,23354,0.563,64.1

DRIVE_RETA targetArteries K3
TP,FP,TN,FN,DICE,CC
23172,6461,1000854,18089,0.645,43.7

