DUALMODAL2019 targetVessels K1
TP,FP,TN,FN,DICE,CC
55253,31569,956526,5227,0.739,42.3

DUALMODAL2019 targetVessels K2
TP,FP,TN,FN,DICE,CC
54027,31348,956944,6257,0.722,57.5

DUALMODAL2019 targetVessels K3
TP,FP,TN,FN,DICE,CC
56580,30073,956861,5061,0.759,50.2

DUALMODAL2019 targetVeins K1
TP,FP,TN,FN,DICE,CC
26947,20084,996513,5033,0.658,38.9

DUALMODAL2019 targetVeins K2
TP,FP,TN,FN,DICE,CC
22132,8802,1008102,9540,0.681,44.1

DUALMODAL2019 targetVeins K3
TP,FP,TN,FN,DICE,CC
25096,22197,993550,7733,0.602,62.3

DUALMODAL2019 targetArteries K1
TP,FP,TN,FN,DICE,CC
23608,14599,1004941,5428,0.673,37.2

DUALMODAL2019 targetArteries K2
TP,FP,TN,FN,DICE,CC
20961,8986,1010422,8207,0.694,67.7

DUALMODAL2019 targetArteries K3
TP,FP,TN,FN,DICE,CC
25036,16500,1002743,4297,0.696,50.5

