HRF targetVessels K1
TP,FP,TN,FN,DICE,CC
65263,21009,940899,21405,0.751,57.9

HRF targetVessels K2
TP,FP,TN,FN,DICE,CC
69792,25735,936694,16355,0.762,52.5

HRF targetVessels K3
TP,FP,TN,FN,DICE,CC
62082,14109,948213,24171,0.757,63.9

HRF targetVeins K1
TP,FP,TN,FN,DICE,CC
30436,13925,986879,17335,0.654,63.2

HRF targetVeins K2
TP,FP,TN,FN,DICE,CC
29281,8663,992833,17800,0.666,52.1

HRF targetVeins K3
TP,FP,TN,FN,DICE,CC
31718,9611,991637,15610,0.706,67.8

HRF targetArteries K1
TP,FP,TN,FN,DICE,CC
19655,9659,996870,22393,0.529,26.3

HRF targetArteries K2
TP,FP,TN,FN,DICE,CC
27987,15836,991362,13391,0.65,94.2

HRF targetArteries K3
TP,FP,TN,FN,DICE,CC
26196,13034,993538,15808,0.639,56.3

