LESAV targetVessels K1
TP,FP,TN,FN,DICE,CC
52559,4995,972276,18746,0.811,22.4

LESAV targetVessels K2
TP,FP,TN,FN,DICE,CC
49496,7318,973704,18058,0.786,27.9

LESAV targetVessels K3
TP,FP,TN,FN,DICE,CC
47824,6675,973146,20931,0.76,32.7

LESAV targetVeins K1
TP,FP,TN,FN,DICE,CC
25035,4012,1006610,12920,0.745,14.4

LESAV targetVeins K2
TP,FP,TN,FN,DICE,CC
22992,2379,1008221,14983,0.723,15.1

LESAV targetVeins K3
TP,FP,TN,FN,DICE,CC
18230,6758,1004789,18799,0.555,23.1

LESAV targetArteries K1
TP,FP,TN,FN,DICE,CC
20249,2650,1009781,15896,0.673,16.6

LESAV targetArteries K2
TP,FP,TN,FN,DICE,CC
15024,3254,1012456,17842,0.571,28.2

LESAV targetArteries K3
TP,FP,TN,FN,DICE,CC
18151,3086,1010999,16341,0.609,22.2

